"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|CO","Mt CO/yr",756.1434361,691.4063623,619.7007005,541.3469009,496.177201,461.4396376,445.6153287,377.0236931,365.7425907,330.1035912,314.5567423,307.3575169,302.538585,316.4656497,314.8943073,315.1032952,316.0936077
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|HFC|HFC125","kt HFC125/yr",66.0718815,78.5104887,98.498706,85.9658276,75.55848901,58.80199005,46.31974019,26.6671429,18.4272585,20.5492056,21.2322645,21.3714792,20.408732,20.8687305,20.6102997,19.9152151,19.2059394
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|HFC|HFC227ea","kt HFC227ea/yr",3.54645232,3.63248198,4.22947837,4.24812893,4.2879453,4.34344286,4.40716675,4.23963935,3.86112192,3.14204504,2.72410556,2.51559626,2.14783938,1.77964567,1.54830899,1.193943858,0.701181482
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|VOC","Mt VOC/yr",180.5713564,173.8068376,164.1214477,152.0252441,145.1679936,138.895315,135.4104923,121.4372437,118.9314529,112.1171239,109.0299426,108.5640806,108.5954663,113.3985983,114.9397265,116.7509459,118.4889322
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|C2F6","kt C2F6/yr",1.374271606,1.560244342,1.766526833,1.418750945,1.33358671,1.212046346,1.106158883,1.084791654,1.067224939,1.079553077,1.076383208,1.064466015,1.037124085,1.01955075,0.991273757,0.958982533,0.93156959
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|Sulfur","Mt SO2/yr",61.32308144,53.63255721,48.58415269,36.51859563,28.49352691,23.24127692,20.42230925,18.76071604,17.29020788,15.65556714,14.46585465,14.10140011,13.5547845,13.53448836,13.28667701,12.98046242,12.57340144
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|CO2","Mt CO2/yr",36039.00537,37164.17988,37506.39815,34211.18597,29954.65576,25616.5525,21505.05699,19889.45809,18392.57319,18544.14935,18811.85505,19081.41924,19594.1918,20103.39487,20514.98366,20896.52149,21255.75981
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr",34691.05943,35929.82201,36384.04259,33397.51829,29449.30174,25429.97442,21636.1894,20022.36673,18526.0885,18678.22561,18945.71034,19214.66155,19726.77403,20235.41506,20646.61743,21027.8841,21386.94684
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|HFC|HFC23","kt HFC23/yr",12.31255522,14.68964097,16.7405349,17.11869829,17.23981022,17.29132932,17.06933744,16.26700845,15.96734133,16.03764648,16.00608631,15.85055897,15.60476043,15.31630344,14.97931043,14.66465379,14.34176595
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|HFC|HFC143a","kt HFC143a/yr",71.8349592,85.2366154,106.8451972,101.3936658,99.855803,93.723128,84.5302342,55.74533066,44.82001971,50.63498291,57.0884281,62.913541,67.4469111,71.3577984,75.614284,79.7196124,84.7583522
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|NH3","Mt NH3/yr",58.1578794,61.97203675,64.92501825,68.79305017,71.49390763,73.68976642,75.70856196,76.94501464,78.19934286,79.45923142,80.62641754,81.59001544,82.51758943,83.23235574,83.67784103,83.94535518,84.05875289
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1236.471835,1386.148166,1635.428,1538.438448,1512.559423,1433.120991,1302.465109,970.8893892,846.5944093,917.2644922,998.7075666,1073.205605,1132.133467,1184.346278,1240.875808,1297.839219,1365.163558
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|PFC","kt CF4-equiv/yr",5.929293161,6.663019256,7.755546338,7.217758562,7.297564433,7.306337004,6.880555408,6.33713113,5.779449173,5.958219155,6.002078335,5.922968934,5.785507324,5.629151221,5.424356896,5.193753182,4.883644656
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",448.9206653,468.5151267,530.5128403,488.180324,474.6012444,436.5503326,384.1354758,257.2525757,207.5682379,228.3581399,256.1140569,282.9020156,305.0658493,325.09534,348.2525166,374.3810247,407.079007
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|BC","Mt BC/yr",6.302320429,5.668142507,5.213619877,4.926799072,4.518523485,4.098773381,3.781827768,3.566621228,3.347810929,3.245812311,3.171419211,3.121725829,3.129884318,3.147596577,3.163893342,3.192346852,3.230871792
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|CF4","kt CF4/yr",4.555021674,5.102773656,5.989018309,5.62756134,5.686468501,5.681880828,5.312927237,4.802781723,4.292145294,4.459368714,4.512214126,4.452777949,4.338474739,4.203020874,4.028688847,3.830960009,3.566325052
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|N2O","kt N2O/yr",9124.674824,9673.552346,10136.40448,10001.78871,10153.30369,10369.83521,10425.24105,10708.84599,10959.79787,11278.92395,11573.64619,11844.98862,12126.07446,12371.52089,12569.20175,12728.43186,12863.55147
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|OC","Mt OC/yr",25.8690643,24.6844592,22.56601275,23.06065604,21.5040329,19.54398573,18.31780448,17.14753336,16.3707566,15.82051284,15.37157499,15.06454494,14.99472535,14.93322407,14.81428625,14.71645597,14.65045541
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|HFC|HFC32","kt HFC32/yr",5.209174463,6.19426659,7.77470911,7.3752321,7.26023137,6.81081156,6.14083512,4.053742973,3.25920707,3.677484956,4.13968925,4.554578517,4.87502216,5.14957715,5.44796633,5.73501342,6.08795633
"GCAM 6.0 NGFS","Fragmented World (version: 1)","World","Emissions|NOx","Mt NO2/yr",120.8096552,106.6670618,96.08569653,85.4982345,77.85165965,72.18035579,67.62221023,65.45218129,62.63727321,62.44108751,62.55472813,62.80737053,63.86263837,64.94245666,65.95835631,67.08597152,68.29829222
